Time,VAV WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Heat Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Heat Cap [W],VAV WITH REHEAT:DesPer 3:Des Cool Mass Flow [kg/s],VAV WITH REHEAT:DesPer 3:Des Sens Cool Cap [W],VAV WITH REHEAT:DesPer 3:Des Tot Cool Cap [W],VAV WITH REHEAT 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT 1:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT 1:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT 1:DesPer 3:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 3:Des Heat Cap [W],VAV WITH REHEAT 1:DesPer 3:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 1:DesPer 3:Des Sens Cool Cap [W],VAV WITH REHEAT 1:DesPer 3:Des Tot Cool Cap [W],VAV WITH REHEAT 2:DesPer 1:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 1:Des Heat Cap [W],VAV WITH REHEAT 2:DesPer 1:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 1:Des Sens Cool Cap [W],VAV WITH REHEAT 2:DesPer 1:Des Tot Cool Cap [W],VAV WITH REHEAT 2:DesPer 2:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 2:Des Heat Cap [W],VAV WITH REHEAT 2:DesPer 2:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 2:Des Sens Cool Cap [W],VAV WITH REHEAT 2:DesPer 2:Des Tot Cool Cap [W],VAV WITH REHEAT 2:DesPer 3:Des Heat Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 3:Des Heat Cap [W],VAV WITH REHEAT 2:DesPer 3:Des Cool Mass Flow [kg/s],VAV WITH REHEAT 2:DesPer 3:Des Sens Cool Cap [W],VAV WITH REHEAT 2:DesPer 3:Des Tot Cool Cap [W]
00:10:00,8.599332E-01,0.000000E+00,8.599332E-01,8.019817E+03,1.917066E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.378006E+03,2.093291E+04,8.599332E-01,3.179930E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,8.019817E+03,1.917066E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.378006E+03,2.093291E+04,8.706694E-01,3.172118E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,8.019817E+03,1.917066E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.378006E+03,2.093291E+04,1.211381E+00,2.947509E+04,8.599332E-01,0.000000E+00,0.000000E+00
00:20:00,8.599332E-01,0.000000E+00,8.599332E-01,7.939455E+03,1.908828E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.297643E+03,2.065660E+04,8.599332E-01,3.179930E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.939455E+03,1.908828E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.297643E+03,2.065660E+04,8.729525E-01,3.170465E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.939455E+03,1.908828E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.297643E+03,2.065660E+04,1.218173E+00,2.953352E+04,8.599332E-01,0.000000E+00,0.000000E+00
00:30:00,8.599332E-01,0.000000E+00,8.599332E-01,7.859092E+03,1.900590E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.217281E+03,2.038135E+04,8.602843E-01,3.179673E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.859092E+03,1.900590E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.217281E+03,2.038135E+04,8.762647E-01,3.168072E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.859092E+03,1.900590E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.217281E+03,2.038135E+04,1.224674E+00,2.959677E+04,8.599332E-01,0.000000E+00,0.000000E+00
00:40:00,8.599332E-01,0.000000E+00,8.599332E-01,7.778730E+03,1.892354E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.136919E+03,2.010713E+04,8.610187E-01,3.179137E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.778730E+03,1.892354E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.136919E+03,2.010713E+04,8.794028E-01,3.165809E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.778730E+03,1.892354E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.136919E+03,2.010713E+04,1.230932E+00,2.966395E+04,8.599332E-01,0.000000E+00,0.000000E+00
00:50:00,8.599332E-01,0.000000E+00,8.599332E-01,7.698368E+03,1.884116E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.056556E+03,1.983397E+04,8.617180E-01,3.178627E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.698368E+03,1.884116E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.056556E+03,1.983397E+04,8.823906E-01,3.163660E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.698368E+03,1.884116E+04,8.599332E-01,0.000000E+00,8.599332E-01,6.056556E+03,1.983397E+04,1.236981E+00,2.973470E+04,8.599332E-01,0.000000E+00,0.000000E+00
01:00:00,8.599332E-01,0.000000E+00,8.599332E-01,7.618005E+03,1.875879E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.976194E+03,1.956183E+04,8.623865E-01,3.178139E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.618005E+03,1.875879E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.976194E+03,1.956183E+04,8.852472E-01,3.161610E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.618005E+03,1.875879E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.976194E+03,1.956183E+04,1.242846E+00,2.980874E+04,8.599332E-01,0.000000E+00,0.000000E+00
01:10:00,8.599332E-01,0.000000E+00,8.599332E-01,7.564430E+03,1.870388E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.922619E+03,1.938098E+04,8.633261E-01,3.177455E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.564430E+03,1.870388E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.922619E+03,1.938098E+04,8.880778E-01,3.159582E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.564430E+03,1.870388E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.922619E+03,1.938098E+04,1.248606E+00,2.988553E+04,8.599332E-01,0.000000E+00,0.000000E+00
01:20:00,8.599332E-01,0.000000E+00,8.599332E-01,7.510855E+03,1.864895E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.869044E+03,1.920059E+04,8.645798E-01,3.176542E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.510855E+03,1.864895E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.869044E+03,1.920059E+04,8.908070E-01,3.157631E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.510855E+03,1.864895E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.869044E+03,1.920059E+04,1.254218E+00,2.985834E+04,8.599332E-01,0.000000E+00,0.000000E+00
01:30:00,8.599332E-01,0.000000E+00,8.599332E-01,7.457281E+03,1.859403E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.815469E+03,1.902066E+04,8.657919E-01,3.175660E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.457281E+03,1.859403E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.815469E+03,1.902066E+04,8.934470E-01,3.155747E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.457281E+03,1.859403E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.815469E+03,1.902066E+04,1.259699E+00,2.983136E+04,8.599332E-01,0.000000E+00,0.000000E+00
01:40:00,8.599332E-01,0.000000E+00,8.599332E-01,7.403706E+03,1.853912E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.761894E+03,1.884117E+04,8.669671E-01,3.174806E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.403706E+03,1.853912E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.761894E+03,1.884117E+04,8.960073E-01,3.153923E+04,8.599332E-01,0.000000E+00,0.000000E+00,8.599332E-01,0.000000E+00,8.599332E-01,7.403706E+03,1.853912E+04,8.599332E-01,0.000000E+00,8.599332E-01,5.761894E+03,1.884117E+04,1.265060E+00,2.980497E+04,8.599332E-01,0.000000E+00,0.000000E+00
